INFO:     Started server process [611303]
INFO:     Waiting for application startup.
2026-03-24 10:45:52,424 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:46:02,445 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:46:12,496 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:46:22,522 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:46:32,545 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:46:42,562 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:46:52,590 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:47:02,607 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:47:12,624 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:47:22,644 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:47:32,662 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:47:42,706 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
